ecoregion_name,scientific_name,common_name,class,conservation_status,image_url,image_attribution,description,habitat_type
Borneo,Dicerorhinus sumatrensis,Sumatran Rhinoceros,MAMMALIA,CR,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Sumatran_Rhino_Way_Kambas_2008.jpg/1280px-Sumatran_Rhino_Way_Kambas_2008.jpg,Wikimedia Commons,Smallest rhinoceros species with two horns,terrestrial
Amazon and Guianas,Panthera onca,Jaguar,MAMMALIA,NT,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Standing_jaguar.jpg/1280px-Standing_jaguar.jpg,Wikimedia Commons,Largest cat in the Americas with powerful bite,terrestrial
Amazon and Guianas,Ara ararauna,Blue-and-yellow Macaw,AVES,LC,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Ara_ararauna_Luc_Viatour.jpg/1280px-Ara_ararauna_Luc_Viatour.jpg,Wikimedia Commons,Large colorful parrot with bright blue and yellow plumage,terrestrial
Amazon and Guianas,Bradypus variegatus,Brown-throated Sloth,MAMMALIA,LC,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Bradypus.jpg/1280px-Bradypus.jpg,Wikimedia Commons,Slow-moving mammal that spends most of life hanging in trees,terrestrial
Amazon and Guianas,Morpho menelaus,Blue Morpho Butterfly,INSECTA,LC,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Blue_morpho_butterfly.jpg/1280px-Blue_morpho_butterfly.jpg,Wikimedia Commons,Large butterfly with iridescent blue wings,terrestrial
Congo Basin,Gorilla gorilla,Western Gorilla,MAMMALIA,CR,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Male_gorilla_in_SF_zoo.jpg/1280px-Male_gorilla_in_SF_zoo.jpg,Wikimedia Commons,Largest living primate found in Central Africa,terrestrial
Congo Basin,Pan troglodytes,Chimpanzee,MAMMALIA,EN,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Schimpanse_Zoo_Leipzig.jpg/1280px-Schimpanse_Zoo_Leipzig.jpg,Wikimedia Commons,Intelligent great ape closely related to humans,terrestrial
Arctic Terrestrial,Ursus maritimus,Polar Bear,MAMMALIA,VU,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Polar_Bear_-_Alaska_%28cropped%29.jpg/1280px-Polar_Bear_-_Alaska_%28cropped%29.jpg,Wikimedia Commons,Large white bear that hunts seals on Arctic ice,terrestrial
Arctic Terrestrial,Rangifer tarandus,Reindeer,MAMMALIA,VU,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Caribou_from_Wagon_Trails.jpg/1280px-Caribou_from_Wagon_Trails.jpg,Wikimedia Commons,Deer species adapted to Arctic tundra with large antlers,terrestrial
Arctic Terrestrial,Alopex lagopus,Arctic Fox,MAMMALIA,LC,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Polarfuchs_1_2004-11-17.jpg/1280px-Polarfuchs_1_2004-11-17.jpg,Wikimedia Commons,Small white fox with thick fur for Arctic survival,terrestrial
Arctic Terrestrial,Ovibos moschatus,Muskox,MAMMALIA,LC,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Ovibos_moschatus_qtl3.jpg/1280px-Ovibos_moschatus_qtl3.jpg,Wikimedia Commons,Large Arctic hoofed mammal with thick coat and curved horns,terrestrial
Arctic Terrestrial,Bubo scandiacus,Snowy Owl,AVES,VU,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Snowy_Owl_%28240866707%29.jpeg/1280px-Snowy_Owl_%28240866707%29.jpeg,Wikimedia Commons,Large white owl that hunts during Arctic summer daylight,terrestrial
Arctic Terrestrial,Odobenus rosmarus,Walrus,MAMMALIA,VU,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Pacific_Walrus_-_Bull_%288247646168%29.jpg/1280px-Pacific_Walrus_-_Bull_%288247646168%29.jpg,Wikimedia Commons,Large Arctic marine mammal with distinctive tusks,marine
