ecoregion,scientific_name,common_name,class,conservation_status,habitat_type,image_url,attribution,description
Coral Triangle,Irrawaddy dolphin,Irrawaddy dolphin,MAMMALIA,VU,Coastal and estuarine waters,https://upload.wikimedia.org/wikipedia/commons/a/ae/Irrawaddy_dolphin-Orcaella_brevirostris_by_2eight.jpg,Wikimedia Commons,"The Irrawaddy dolphin is a euryhaline species of oceanic dolphin found in scattered subpopulations near sea coasts and in estuaries and rivers in parts of the Bay of Bengal and Southeast Asia. It closely resembles the Australian snubfin dolphin, which was not described as a separate species until 2005. It has a slate blue to a slate gray color. Although found in much of the riverine and marine zones of South and Southeast Asia, the only concentrated lagoon populations are found in Chilika Lake in Odisha, India and Songkhla Lake in southern Thailand."
Coral Triangle,Bryde's whale,Bryde's whale,MAMMALIA,LC,Tropical pelagic waters,https://upload.wikimedia.org/wikipedia/commons/3/35/Balaenoptera_brydei.jpg,Wikimedia Commons,"Bryde's whale, or the Bryde's whale complex, putatively comprises three species of rorqual and possibly four. The ""complex"" means the number and classification remain unclear because of a lack of definitive information and research. The common Bryde's whale is a larger form that occurs worldwide in warm temperate and tropical waters, and the Sittang or Eden's whale is a smaller form that may be restricted to the Indo-Pacific. Also, a smaller, coastal form of B. brydei is found off southern Africa, and perhaps another form in the Indo-Pacific differs in skull morphology, tentatively referred to as the Indo-Pacific Bryde's whale. The recently described Omura's whale, was formerly thought to be a pygmy form of Bryde's, but is now recognized as a distinct species. Rice's whale, which makes its home solely in the Gulf of Mexico, was once considered a distinct population of Bryde's whale, but in 2021 it was described as a separate species."
Coral Triangle,Sperm whale,Sperm whale,MAMMALIA,VU,Deep ocean,https://upload.wikimedia.org/wikipedia/commons/b/b1/Mother_and_baby_sperm_whale.jpg,Wikimedia Commons,"The sperm whale or cachalot is the largest of the toothed whales and the largest toothed predator. It is the only living member of the genus Physeter and one of three extant species in the sperm whale superfamily Physeteroidea, along with the pygmy sperm whale and dwarf sperm whale of the genus Kogia."
Coral Triangle,Humphead wrasse,Humphead wrasse,ACTINOPTERYGII,VU,Coral reefs,https://upload.wikimedia.org/wikipedia/commons/4/49/Humphead_wrasse_melb_aquarium.jpg,Wikimedia Commons,"The humphead wrasse is a large species of wrasse mainly found on coral reefs in the Indo-Pacific region. It is also known as the Māori wrasse, napoleon wrasse, and napoleonfish. It is in the Pohnpeian language of the Caroline Islands."
Coral Triangle,Bumphead parrotfish,Bumphead parrotfish,ACTINOPTERYGII,VU,Coral reefs,https://upload.wikimedia.org/wikipedia/commons/a/a0/Bumphead_parrotfish_%28Bolbometopon_muricatum%29_%2849509140173%29.jpg,Wikimedia Commons,"The green humphead parrotfish is the largest species of parrotfish, growing to lengths of 1.5 m (4.9 ft) and weighing up to 75 kg (165 lb)."
Coral Triangle,Giant clam,Giant clam,BIVALVIA,VU,Coral reef flats,https://upload.wikimedia.org/wikipedia/commons/6/6f/Giant_clam_%28Tridacna_gigas%29_Michaelmas_Cay.jpg,Wikimedia Commons,"Tridacna gigas, the giant clam, is the best-known species of the giant clam genus Tridacna. Giant clams are the largest living bivalve molluscs. Several other species of ""giant clam"" in the genus Tridacna are often misidentified as Tridacna gigas."
Coral Triangle,Crown-of-thorns starfish,Crown-of-thorns starfish,ANTHOZOA,NT,Coral reefs,https://upload.wikimedia.org/wikipedia/commons/8/8f/CrownofThornsStarfish_Fiji_2005-10-12.jpg,Wikimedia Commons,"The crown-of-thorns starfish, Acanthaster planci, is a large starfish that preys upon hard, or stony, coral polyps (Scleractinia). The crown-of-thorns starfish receives its name from venomous thornlike spines that cover its upper surface, resembling the biblical crown of thorns. It is one of the largest starfish in the world."
Coral Triangle,Blue-ringed octopus,Blue-ringed octopus,MALACOSTRACA,VU,Shallow reefs,https://upload.wikimedia.org/wikipedia/commons/f/f2/Hapalochlaena_lunulata2.JPG,Wikimedia Commons,"Blue-ringed octopuses, comprising the genus Hapalochlaena, are four extremely venomous species of octopus that are found in tide pools and coral reefs in the Pacific and Indian Oceans, from Japan to Australia. They can be identified by their yellowish skin and characteristic blue and black rings that can change color dramatically when the animals are threatened. They eat small crustaceans, including crabs, hermit crabs, shrimp, and other small sea animals."
Coral Triangle,Mandarin fish,Mandarin dragonet,ACTINOPTERYGII,LC,Lagoon reefs,https://upload.wikimedia.org/wikipedia/commons/2/2d/Synchiropus_splendidus_2_Luc_Viatour.jpg,Wikimedia Commons,"Synchiropus splendidus, the mandarinfish or mandarin dragonet, is a small, brightly colored member of the dragonet family, which is popular in the saltwater aquarium trade. The mandarinfish is native to the Pacific, ranging approximately from the Ryukyu Islands south to Australia. It can usually be found in some of the warmer waters."
Coral Triangle,Moorish idol,Moorish idol,ACTINOPTERYGII,LC,Coral reefs,https://upload.wikimedia.org/wikipedia/commons/7/71/%C3%8Ddolo_moro_%28Zanclus_cornutus%29%2C_Anilao%2C_Filipinas%2C_2023-08-25%2C_DD_233.jpg,Wikimedia Commons,The Moorish idol is a species of marine ray-finned fish belonging to the family Zanclidae. It is the only member of the monospecific genus Zanclus and the only extant species within the Zanclidae. This species is found on reefs in the Indo-Pacific region.
Coral Triangle,Banggai cardinalfish,Banggai cardinalfish,ACTINOPTERYGII,EN,Seagrass beds and reefs,https://upload.wikimedia.org/wikipedia/commons/b/bd/Banggai_cardinalfish_%28Pterapogon_kauderni%29_%2843875107345%29.jpg,Wikimedia Commons,"The Banggai cardinalfish is a small tropical cardinalfish in the family Apogonidae. It is the only member of its genus. This attractive fish is popular in the aquarium trade. It is among the relatively few marine fish to have been bred regularly in captivity, but significant numbers are still captured in the wild and it is now an endangered species. The detrimental impact of humans on its environment and certain fatal diseases threaten this species' numbers significantly. Iridovirus diseases are known to be significant reason for fish mortality."
Coral Triangle,Clown triggerfish,Clown triggerfish,ACTINOPTERYGII,LC,Outer reef slopes,https://upload.wikimedia.org/wikipedia/commons/a/a4/Balistoides_conspicillum_2607.jpg,Wikimedia Commons,"The clown triggerfish, also known as the bigspotted triggerfish, is a demersal marine fish."
Coral Triangle,Blacktip reef shark,Blacktip reef shark,CHONDRICHTHYES,NT,Shallow coral reefs,https://upload.wikimedia.org/wikipedia/commons/7/76/Blacktip_reef_shark_%28Carcharhinus_melanopterus%29_Moorea_5.jpg,Wikimedia Commons,"The blacktip reef shark is a species of requiem shark, in the family Carcharhinidae, which can be easily identified by the prominent black tips on its fins. Among the most abundant sharks inhabiting the tropical coral reefs of the Indian and Pacific Oceans, this species prefers shallow, inshore waters. Its exposed first dorsal fin is a common sight in the region. The blacktip reef shark is usually found over reef ledges and sandy flats, though it has also been known to enter brackish and freshwater environments. It typically attains a length of 1.6 m (5.2 ft). Like other sharks, the females are larger than the males."
Coral Triangle,Grey reef shark,Grey reef shark,CHONDRICHTHYES,NT,Outer reef slopes,https://upload.wikimedia.org/wikipedia/commons/0/08/Corl0207_%2828225976491%29.jpg,Wikimedia Commons,"The grey reef shark or gray reef shark is a species of requiem shark, in the family Carcharhinidae. One of the most common reef sharks in the Indo-Pacific, it is found as far east as Easter Island and as far west as South Africa. This species is most often seen in shallow water near the drop-offs of coral reefs. It has the typical ""reef shark"" shape, with a broad, round snout and large eyes. It can be distinguished from similar species by the plain or white-tipped first dorsal fin, the dark tips on the other fins, the broad, black rear margin on the tail fin, and the lack of a ridge between the dorsal fins. Most individuals are less than 1.88 m (6.2 ft) long."
Coral Triangle,Whitetip reef shark,Whitetip reef shark,CHONDRICHTHYES,NT,Coral reefs,https://upload.wikimedia.org/wikipedia/commons/9/95/Carcharhinus_albimarginatus-shark.jpg,Wikimedia Commons,"The whitetip reef shark is a species of requiem shark, in the family Carcharhinidae, and the only member of its genus. A small shark that does not usually exceed 1.6 m (5.2 ft) in length, this species is easily recognizable by its slender body and short but broad head, as well as tubular skin flaps beside the nostrils, oval eyes with vertical pupils, and white-tipped dorsal and caudal fins. One of the most common sharks found on Indo-Pacific coral reefs, the whitetip reef shark occurs as far west as South Africa and as far east as Central America. It is typically found on or near the bottom in clear water, at a depth of 8–40 m (26–131 ft)."
Coral Triangle,Silvertip shark,Silvertip shark,CHONDRICHTHYES,VU,Outer reef slopes,https://upload.wikimedia.org/wikipedia/commons/5/5c/Silvertip_shark_%28Carcharhinis_albimarginatus%29.jpg,Wikimedia Commons,"The silvertip shark is a large species of requiem shark, in the family Carcharhinidae, with a fragmented distribution throughout the tropical Indian and Pacific Oceans. It is often encountered around offshore islands and coral reefs, and has been known to dive to a depth of 800 m (2,600 ft). The silvertip shark resembles a larger and bulkier grey reef shark, but can be easily identified by the prominent white margins on its fins. It attains a maximum length of 3 m (10 ft)."
Coral Triangle,Tawny nurse shark,Tawny nurse shark,CHONDRICHTHYES,NT,Coral and seagrass habitats,https://upload.wikimedia.org/wikipedia/commons/f/f1/Ginglymostoma_cirratum_Maldives.JPG,Wikimedia Commons,"The tawny nurse shark is a species of carpet shark in the family Ginglymostomatidae, and the only extant member of the genus Nebrius."
Coral Triangle,Chambered nautilus,Chambered nautilus,GASTROPODA,NT,Deep reef slopes,https://upload.wikimedia.org/wikipedia/commons/4/4a/Nautilus_pompilius_%28detail%29.jpg,Wikimedia Commons,"The chambered nautilus, also called the pearly nautilus, is the best-known species of nautilus. The shell, when cut away, reveals a lining of lustrous nacre and displays a nearly perfect equiangular spiral, although it is not a golden spiral. The shell exhibits countershading, being light on the bottom and dark on top. This is to help avoid predators, because when seen from above, it blends in with the darkness of the sea, and when seen from below, it blends in with the light coming from above."
Coral Triangle,Peacock mantis shrimp,Peacock mantis shrimp,MALACOSTRACA,LC,Coral rubble,https://upload.wikimedia.org/wikipedia/commons/1/1e/Odontodactylus_scyllarus_R%C3%A9union.jpg,Wikimedia Commons,"Odontodactylus scyllarus, commonly known as the peacock mantis shrimp, harlequin mantis shrimp, painted mantis shrimp, clown mantis shrimp, rainbow mantis shrimp, or simply mantis shrimp, is a large Stomatopod native to the epipelagic seabed across the Indo-Pacific, ranging from the Marianas to East Africa, and as far South as Northern KwaZulu Natal in South Africa. It is one of roughly 480 species of mantis shrimp, which are well known for their raptorial claws, exceptional vision, and their unique way of interacting with other marine species."
Coral Triangle,Harlequin shrimp,Harlequin shrimp,MALACOSTRACA,LC,Coral reefs,https://upload.wikimedia.org/wikipedia/commons/9/9c/Hymenocera_picta_en_train_de_retourner_Fromia_milleporella.JPG,Wikimedia Commons,"Hymenocera picta, commonly known as the harlequin shrimp, is a species of saltwater shrimp found at coral reefs in the tropical Indian and Pacific Oceans. It is usually considered the only species in the genus Hymenocera, but some split it into two species: H. picta from the central and east Pacific, where the spots are deep pinkish-purple with a yellow edge, and H. elegans from the Indian Ocean and west Pacific, where the spots are more brownish and have a blue edge. They reach about 5 cm (2.0 in) in length, live in pairs, and feed exclusively on starfish, including crown-of-thorns starfish. They do seem to prefer smaller, more sedentary starfish, but as these generally are not sufficiently numerous for their needs, they commonly attack crown-of-thorns starfish, both reducing its consumption of coral while under attack, and killing it within a few days."
Coral Triangle,Pygmy seahorse,Pygmy seahorse,ACTINOPTERYGII,DD,Gorgonian corals,https://upload.wikimedia.org/wikipedia/commons/d/df/Hippocampus_bargibanti2.JPG,Wikimedia Commons,"The pygmy seahorses comprise several species of tiny seahorse in the family Syngnathidae (seahorses and pipefishes) and in the order Syngnathiformes, which contains fishes with fused jaws that suck food into tubular mouths."
Coral Triangle,Banded sea krait,Banded sea krait,REPTILIA,LC,Coral reefs,https://upload.wikimedia.org/wikipedia/commons/a/ad/Banded_Sea_Krait_%28Laticauda_colubrina%29_%2814641328165%29.jpg,Wikimedia Commons,"The yellow-lipped sea krait, also known as the banded sea krait or colubrine sea krait, is a species of highly venomous snake found in tropical Indo-Pacific oceanic waters. The snake has distinctive black stripes and a yellow snout, with a paddle-like tail for use in swimming."
Coral Triangle,Giant trevally,Giant trevally,ACTINOPTERYGII,LC,Reef passes and lagoons,https://upload.wikimedia.org/wikipedia/commons/e/ed/Caranx_ignobilis.jpg,Wikimedia Commons,"The giant trevally, also known as the lowly trevally, barrier trevally, ronin jack, giant kingfish, or ulua, is a species of large marine fish classified in the jack family, Carangidae. The giant trevally is distributed throughout the tropical waters of the Indo-Pacific region, with a range stretching from South Africa to Hawaii, including Japan in the north and Australia in the south. Two were documented in the eastern tropical Pacific in the 2010s, but whether the species will become established there remains to be seen."
Coral Triangle,Indo-Pacific sailfish,Indo-Pacific sailfish,ACTINOPTERYGII,LC,Open ocean,https://upload.wikimedia.org/wikipedia/commons/d/dc/Istiophorus_platypterus_101956558.jpg,Wikimedia Commons,"The Indo-Pacific sailfish is a sailfish native to the Indian and Pacific Oceans and is naturalized in the Atlantic where it has entered the Mediterranean Sea via the Suez Canal as a Lessepsian migrant. It is dark blue on top, brown-blue laterally, silvery white underbelly; upper jaw elongated in the form of a spear; first dorsal fin greatly enlarged in the form of a sail, with many black cones, its front squared off, highest at its midpoint; pelvic fins very narrow, reaching almost to the anus; body covered with embedded scales, blunt at end; lateral line curved above pectoral fin, then straight to base of tail. They have a large and sharp bill, which they use for hunting. They feed on tuna and mackerel, some of the fastest fish in the ocean. Most authorities only recognise a single species of sailfish, I. platypterus."
Coral Triangle,Bigfin reef squid,Bigfin reef squid,MALACOSTRACA,LC,Coastal waters,https://upload.wikimedia.org/wikipedia/commons/f/f2/Bigfin_reef_squid_%2811760%29.jpg,Wikimedia Commons,"Sepioteuthis lessoniana, commonly known as the bigfin reef squid, tiger squid, glitter squid, oval squid, or northern calamari, is a species complex in the loliginid squid family. It is one of the three currently recognized species belonging to the genus Sepioteuthis. Studies in 1993, however, have indicated that bigfin reef squids may comprise several cryptic species, that are very similar and closely related."
Coral Triangle,Bubble-tip anemone,Bubble-tip anemone,ANTHOZOA,LC,Coral reefs,https://upload.wikimedia.org/wikipedia/commons/4/4d/Entacmaea_quadricolor_%28Bubble_tip_anemone%29.jpg,Wikimedia Commons,"Bubble-tip anemone is a species of sea anemone in the family Actiniidae. Like several anemone species, E. quadricolor can support several anemonefish species, and displays two growth types based on where they live in the water column, one of which gives it the common name, due to the bulbous tips on its tentacles."
Coral Triangle,Acropora millepora,Staghorn coral,ANTHOZOA,NT,Reef-building coral,https://upload.wikimedia.org/wikipedia/commons/9/91/Acropora_millepora_Maldives.jpg,Wikimedia Commons,Acropora millepora is a species of branching stony coral native to the western Indo-Pacific where it is found in shallow water from the east coast of Africa to the coasts of Japan and Australia. It was first described in 1834 by Christian Gottfried Ehrenberg as Heteropora millepora.
Coral Triangle,Porites lutea,Unknown,ANTHOZOA,LC,Massive reef coral,https://upload.wikimedia.org/wikipedia/commons/9/96/Porites_lutea.jpg,Wikimedia Commons,"Porites lutea is a species of stony coral in the family Poritidae. It is found growing in very shallow water on reefs in the Indo-Pacific region. It sometimes forms ""microatolls"" in the intertidal zone and these massive structures have been used to study trends in sea levels and sea water temperature."
Coral Triangle,Thalassia hemprichii,Pacific turtlegrass,MAGNOLIOPSIDA,LC,Seagrass meadows,https://upload.wikimedia.org/wikipedia/commons/f/f7/Thalassia_hemprichii.jpg,Wikimedia Commons,"Thalassia hemprichii, called Pacific turtlegrass, is a widespread species of seagrass in the genus Thalassia, native to the shores of the Indian Ocean, the Red Sea, and the western Pacific Ocean. Its growth rate increases with CO2 enrichment, and it can tolerate lowered light conditions caused by algal blooms, allowing for it to respond positively to ocean acidification and other disturbances."
Coral Triangle,Halophila ovalis,Paddle weed,MAGNOLIOPSIDA,LC,Seagrass meadows,https://upload.wikimedia.org/wikipedia/commons/e/ed/Halophila_ovalis.jpg,Wikimedia Commons,"Halophila ovalis, commonly known as paddle weed, spoon grass or dugong grass, is a seagrass in the family Hydrocharitaceae. It is a small herbaceous plant that naturally occurs in sea beds and other saltwater environments in the Indo-Pacific. It was introduced as isolated populations in Florida, Cuba and Antigua."
Amazon and Guianas,Jaguar,Jaguar,MAMMALIA,NT,Lowland rainforest,https://upload.wikimedia.org/wikipedia/commons/0/0a/Standing_jaguar.jpg,Wikimedia Commons,"The jaguar is a large cat species and the only living member of the genus Panthera that is native to the Americas. With a body length of up to 1.85 m and a weight of up to 158 kg (348 lb), it is the biggest cat species in the Americas and the third largest in the world. Its distinctively marked coat features pale yellow to tan colored fur covered by spots that transition to rosettes on the sides, although a melanistic black coat appears in some individuals. The jaguar's powerful bite allows it to pierce the carapaces of turtles and tortoises, and to employ an unusual killing method: it bites directly through the skull of mammalian prey between the ears to deliver a fatal blow to the brain."
Amazon and Guianas,Harpy eagle,Harpy eagle,AVES,NT,Canopy rainforest,https://upload.wikimedia.org/wikipedia/commons/3/3b/Harpia_harpyja_001_800.jpg,Wikimedia Commons,"The harpy eagle is a large neotropical species of eagle. It is also called the American harpy eagle to distinguish it from the Papuan eagle, which is sometimes known as the New Guinea harpy eagle or Papuan harpy eagle. It is the largest bird of prey throughout its range, and among the largest extant species of eagles in the world. It usually inhabits tropical lowland rainforests in the upper (emergent) canopy layer. Destruction of its natural habitat has caused it to vanish from many parts of its former range, and it is nearly extirpated from much of Central America. It is the only member of the genus Harpia, which, together with Harpyopsis, Macheiramphus and Morphnus, forms the subfamily Harpiinae."
Amazon and Guianas,Amazon river dolphin,Amazon river dolphin,MAMMALIA,VU,Amazon River,https://upload.wikimedia.org/wikipedia/commons/9/99/Amazonas-Flussdelfin_Orinoko3.jpg,Wikimedia Commons,"The Amazon river dolphin, also known as the boto, bufeo or pink river dolphin, is a species of toothed whale endemic to South America and is classified in the family Iniidae. Three subspecies are currently recognized: I. g. geoffrensis, I. g. boliviensis and I. g. humboldtiana. The position of the Araguaian river dolphin within the clade is still unclear. The three subspecies are distributed in the Amazon basin, the upper Madeira River in Bolivia, and the Orinoco basin, respectively."
Amazon and Guianas,Giant otter,Giant otter,MAMMALIA,VU,River floodplains,https://upload.wikimedia.org/wikipedia/commons/2/21/Giant_otters_%28Pteronura_brasiliensis%29.jpg,Wikimedia Commons,"The giant otter or giant river otter is a South American carnivorous mammal. It is the longest member of the weasel family, Mustelidae, a globally successful group of predators, reaching up to 1.8 m. Atypical of mustelids, the giant otter is a social species, with family groups typically supporting three to eight members. The groups are centered on a dominant breeding pair and are extremely cohesive and cooperative. Although generally peaceful, the species is territorial, and aggression has been observed between groups. The giant otter is diurnal, being active exclusively during daylight hours. It is the noisiest otter species, and distinct vocalizations have been documented that indicate alarm, aggression, and reassurance."
Amazon and Guianas,Black caiman,Black caiman,REPTILIA,NT,Freshwater wetlands,https://upload.wikimedia.org/wikipedia/commons/7/72/Melanosuchus_niger_in_Moscow_zoo.jpg,Wikimedia Commons,"The black caiman is a crocodilian reptile endemic to South America. With a maximum length of around 5 to 6.5 m and a mass of over 450 kg (1,000 lb), it is the largest living species of the family Alligatoridae, and the third-largest crocodilian in the Neotropical realm. True to its common and scientific names, the black caiman has a dark greenish-black coloration as an adult. In some individuals, the pigmentation can appear almost jet-black. It has grey to brown banding on the lower jaw; juveniles have a more vibrant coloration compared to adults, with prominent white-pale yellow banding on the flanks that remains present well into adulthood. The banding on young helps with camouflage by breaking up their body outline, on land or in water, in an effort to avoid predation. The morphology is quite different from other caimans but the bony ridge that occurs in other caimans is present. The head is large and heavy, an advantage in catching larger prey. Like all crocodilians, caimans are long, squat creatures, with big jaws, long tails and short legs. They have thick, scaled skin, and their eyes and noses are located on the tops of their heads. This enables them to see and breathe while the rest of their bodies are underwater."
Amazon and Guianas,Green anaconda,Green anaconda,REPTILIA,LC,Flooded forests,https://upload.wikimedia.org/wikipedia/commons/b/b4/Sucuri_verde.jpg,Wikimedia Commons,"The green anaconda, also known as the giant anaconda, emerald anaconda, common anaconda, common water boa, northern green anaconda, or akayima, is a semi-aquatic boa species found in South America and the Caribbean island of Trinidad. It is the largest, heaviest, and one of the longest snakes in the world. Like all boas, it is a non-venomous constrictor.
The term ""anaconda"" often refers to this species, though the term could also apply to other members of the genus Eunectes. Fossils of the snake date back to the Late Pleistocene in the Gruta do Urso locality."
Amazon and Guianas,Scarlet macaw,Scarlet macaw,AVES,LC,Rainforest canopy,https://upload.wikimedia.org/wikipedia/commons/4/47/Scarlet_macaw_%28Ara_macao_cyanopterus%29_Copan.jpg,Wikimedia Commons,"The scarlet macaw also called the red-and-yellow macaw, red-and-blue macaw or red-breasted macaw, is a large yellow, red and blue Neotropical parrot native to humid evergreen forests of the Americas. Its range extends from southeastern Mexico to Peru, Ecuador, Colombia, Bolivia, Venezuela, Honduras, and Brazil in lowlands of 500 m (1,600 ft) up to 1,000 m (3,300 ft), the Caribbean island of Trinidad, as well as the Pacific island of Coiba. Formerly, the northern extent of its range included southern Tamaulipas. In some areas, it has suffered local extinction because of habitat destruction, or capture for the parrot trade, but in other areas, it remains fairly common. It is the national bird of Honduras. Like its relative the blue-and-yellow macaw, the scarlet macaw is a popular bird in aviculture as a result of its striking plumage. It is the third most common macaw species in captivity after the blue-and-yellow and red-and-green macaw respectively. In recent years it has become much rarer in captivity and much more expensive due to stricter laws, its price being higher than even red-and-green macaws."
Amazon and Guianas,Blue-and-yellow macaw,Blue-and-yellow macaw,AVES,LC,Rainforest canopy,https://upload.wikimedia.org/wikipedia/commons/e/ec/Ara_ararauna_Luc_Viatour.jpg,Wikimedia Commons,"The blue-and-yellow macaw, also known as the blue-and-gold macaw, is a large Neotropical parrot with a mostly blue dorsum, light yellow/orange venter, and gradient hues of green on top of its head. It is a member of the large group of neotropical parrots known as macaws. It inhabits forest, woodland and savannah of tropical Central and South America, as well as the island of Trinidad in the Caribbean. They are popular in aviculture because of their striking color, ability to talk, ready availability in the marketplace, and close bonding to humans. It is the most commonly kept macaw species in captivity worldwide as a pet or companion parrot and is also the cheapest among the large macaws. As of 2025, there are 1 million blue and gold macaws living in captivity worldwide, one of the highest population of any large parrot in captivity, such is the popularity of this bird."
Amazon and Guianas,Red-bellied piranha,Red-bellied piranha,ACTINOPTERYGII,LC,Rivers and lakes,https://upload.wikimedia.org/wikipedia/commons/c/c7/Pygocentrus_nattereri_-_Karlsruhe_Zoo_01.jpg,Wikimedia Commons,"The red-bellied piranha, also known as the red piranha, is a species of freshwater ray-finned fish belonging to the family Serrasalmidae, which includes the pacus, piranhas and related fishes. The red-bellied piranha occurs in South America, found in the Amazon, Paraguay, Paraná and Essequibo basins, as well as coastal rivers of northeastern Brazil. This fish is locally abundant in its freshwater habitat."
